点位,场景,人数,营业时长(h),单量,人均单量,订单收入,人头补贴,总收入,人力成本,物料摊销,总成本,毛利,毛利率,单均收入,单均成本,单均毛利,补贴达标,日期
万科欧泊,推广期(结算2.5元),3,3.0,26,8.666666666666666,65.0,0,65.0,270.0,3.33,273.33,-208.33,-320.5%,2.5,10.51,-8.01,✗ (人均8.7单 ≤ 20单),6月7日
万科欧泊,推广期(结算2.5元),3,3.0,23,7.666666666666667,57.5,0,57.5,270.0,3.33,273.33,-215.83,-375.4%,2.5,11.88,-9.38,✗ (人均7.7单 ≤ 20单),6月8日
万科欧泊,推广期(结算2.5元),3,3.0,21,7.0,52.5,0,52.5,270.0,3.33,273.33,-220.83,-420.6%,2.5,13.02,-10.52,✗ (人均7.0单 ≤ 20单),6月9日
万科欧泊,推广期(结算2.5元),3,3.0,35,11.666666666666666,87.5,0,87.5,270.0,3.33,273.33,-185.83,-212.4%,2.5,7.81,-5.31,✗ (人均11.7单 ≤ 20单),6月10日
万科欧泊,推广期(结算2.5元),3,3.0,35,11.666666666666666,87.5,0,87.5,270.0,3.33,273.33,-185.83,-212.4%,2.5,7.81,-5.31,✗ (人均11.7单 ≤ 20单),6月11日
万科欧泊,推广期(结算2.5元),3,3.0,46,15.333333333333334,115.0,0,115.0,270.0,3.33,273.33,-158.33,-137.7%,2.5,5.94,-3.44,✗ (人均15.3单 ≤ 20单),6月12日
绿地星玥,推广期(结算2.5元),5,6.5,122,24.4,305.0,80,385.0,975.0,3.33,978.33,-593.33,-154.1%,3.16,8.02,-4.86,✓,6月10日
绿地星玥,推广期(结算2.5元),5,6.5,151,30.2,377.5,80,457.5,975.0,3.33,978.33,-520.83,-113.8%,3.03,6.48,-3.45,✓,6月11日
和业广场,推广期(结算2.5元),2,3.0,36,18.0,90.0,0,90.0,180.0,3.33,183.33,-93.33,-103.7%,2.5,5.09,-2.59,✗ (人均18.0单 ≤ 20单),6月11日
华林国际C馆,推广期(结算2.5元),2,3.0,3,1.5,7.5,0,7.5,180.0,3.33,183.33,-175.83,-2344.4%,2.5,61.11,-58.61,✗ (人均1.5单 ≤ 20单),6月11日
万菱广场,推广期(结算2.5元),2,3.0,12,6.0,30.0,0,30.0,180.0,3.33,183.33,-153.33,-511.1%,2.5,15.28,-12.78,✗ (人均6.0单 ≤ 20单),6月10日
万菱广场,推广期(结算2.5元),2,3.0,41,20.5,102.5,80,182.5,180.0,3.33,183.33,-0.83,-0.5%,4.45,4.47,-0.02,✓,6月11日
金鹰大厦,推广期(结算2.5元),2,3.0,20,10.0,50.0,0,50.0,180.0,3.33,183.33,-133.33,-266.7%,2.5,9.17,-6.67,✗ (人均10.0单 ≤ 20单),6月11日
