单量,场景,对称利润,非对称利润,非对称优势,对称补贴,非对称补贴
20,推广期,-133,-103,+30,✗,✗
20,常规期,-143,-113,+30,✗,✗
21,推广期,-131,-101,+30,✗,✗
21,常规期,-141,-111,+30,✗,✗
22,推广期,-128,-98,+30,✗,✗
22,常规期,-139,-109,+30,✗,✗
23,推广期,-126,-96,+30,✗,✗
23,常规期,-137,-107,+30,✗,✗
24,推广期,-123,-93,+30,✗,✗
24,常规期,-135,-105,+30,✗,✗
25,推广期,-121,-91,+30,✗,✗
25,常规期,-133,-103,+30,✗,✗
26,推广期,-118,-88,+30,✗,✗
26,常规期,-131,-101,+30,✗,✗
27,推广期,-116,-86,+30,✗,✗
27,常规期,-129,-99,+30,✗,✗
28,推广期,-113,-83,+30,✗,✗
28,常规期,-127,-97,+30,✗,✗
29,推广期,-111,-81,+30,✗,✗
29,常规期,-125,-95,+30,✗,✗
