点位,场景,当前配置,当前单量,当前日利润,当前补贴,日固定成本,产能上限,无补贴BE,有补贴BE,实际需达单量,说明,满产利润
万科欧泊,推广期,3人×3.0h,46,-158,✗,273,48单,109单,77单,无法达成,产能不足，满产仍亏153元,-153
万科欧泊,常规期,3人×3.0h,46,-181,✗,273,48单,137单,97单,无法达成,产能不足，满产仍亏177元,-177
绿地星玥,推广期,5人×6.5h,151,-521,✓,978,208单,391单,359单,无法达成,产能不足，满产仍亏378元,-378
绿地星玥,常规期,5人×6.5h,151,-596,✓,978,208单,489单,449单,无法达成,产能不足，满产仍亏482元,-482
和业广场,推广期,2人×3.0h,36,-93,✗,183,38单,73单,41单,无法达成,产能不足，满产仍亏88元,-88
和业广场,常规期,2人×3.0h,36,-111,✗,183,38单,92单,52单,无法达成,产能不足，满产仍亏107元,-107
华林国际C馆,推广期,2人×3.0h,3,-176,✗,183,38单,73单,41单,无法达成,产能不足，满产仍亏88元,-88
华林国际C馆,常规期,2人×3.0h,3,-177,✗,183,38单,92单,52单,无法达成,产能不足，满产仍亏107元,-107
万菱广场,推广期,2人×3.0h,41,-1,✓,183,38单,73单,41单,无法达成,产能不足，满产仍亏88元,-88
万菱广场,常规期,2人×3.0h,41,-21,✓,183,38单,92单,52单,无法达成,产能不足，满产仍亏107元,-107
金鹰大厦,推广期,2人×3.0h,20,-133,✗,183,38单,73单,41单,无法达成,产能不足，满产仍亏88元,-88
金鹰大厦,常规期,2人×3.0h,20,-143,✗,183,38单,92单,52单,无法达成,产能不足，满产仍亏107元,-107
