点位,场景,目标单量,最优配置,日成本,产能利用率,补贴,日利润
万科欧泊,推广期,46,2人×4.0h,243,90%,✓,-48
万科欧泊,常规期,46,2人×4.0h,243,90%,✓,-71
万科欧泊,推广期,55,2人×4.5h,273,95%,✓,-56
万科欧泊,常规期,55,2人×4.5h,273,95%,✓,-83
万科欧泊,推广期,69,2人×5.5h,333,98%,✓,-81
万科欧泊,常规期,69,2人×5.5h,333,98%,✓,-115
万科欧泊,推广期,92,2人×7.5h,453,96%,✓,-143
万科欧泊,常规期,92,2人×7.5h,453,96%,✓,-189
绿地星玥,推广期,151,6人×4.0h,723,94%,✓,-266
绿地星玥,常规期,151,6人×4.0h,723,94%,✓,-341
绿地星玥,推广期,181,7人×4.0h,843,94%,✓,-311
绿地星玥,常规期,181,7人×4.0h,843,94%,✓,-401
绿地星玥,推广期,226,7人×5.0h,1053,94%,✓,-408
绿地星玥,常规期,226,7人×5.0h,1053,94%,✓,-521
绿地星玥,推广期,302,8人×5.5h,1323,98%,✓,-488
绿地星玥,常规期,302,8人×5.5h,1323,98%,✓,-639
和业广场,推广期,36,2人×3.0h,183,94%,✗,-93
和业广场,常规期,36,2人×3.0h,183,94%,✗,-111
和业广场,推广期,43,2人×3.5h,213,96%,✓,-26
和业广场,常规期,43,2人×3.5h,213,96%,✓,-47
和业广场,推广期,54,2人×4.5h,273,94%,✓,-58
和业广场,常规期,54,2人×4.5h,273,94%,✓,-85
和业广场,推广期,72,2人×6.0h,363,94%,✓,-103
和业广场,常规期,72,2人×6.0h,363,94%,✓,-139
华林国际C馆,推广期,3,2人×3.0h,183,8%,✗,-176
华林国际C馆,常规期,3,2人×3.0h,183,8%,✗,-177
华林国际C馆,推广期,3,2人×3.0h,183,8%,✗,-176
华林国际C馆,常规期,3,2人×3.0h,183,8%,✗,-177
华林国际C馆,推广期,4,2人×3.0h,183,10%,✗,-173
华林国际C馆,常规期,4,2人×3.0h,183,10%,✗,-175
华林国际C馆,推广期,6,2人×3.0h,183,16%,✗,-168
华林国际C馆,常规期,6,2人×3.0h,183,16%,✗,-171
万菱广场,推广期,41,2人×3.5h,213,92%,✓,-31
万菱广场,常规期,41,2人×3.5h,213,92%,✓,-51
万菱广场,推广期,49,2人×4.0h,243,96%,✓,-41
万菱广场,常规期,49,2人×4.0h,243,96%,✓,-65
万菱广场,推广期,61,2人×5.0h,303,95%,✓,-71
万菱广场,常规期,61,2人×5.0h,303,95%,✓,-101
万菱广场,推广期,82,2人×6.5h,393,99%,✓,-108
万菱广场,常规期,82,2人×6.5h,393,99%,✓,-149
金鹰大厦,推广期,20,2人×3.0h,183,52%,✗,-133
金鹰大厦,常规期,20,2人×3.0h,183,52%,✗,-143
金鹰大厦,推广期,24,2人×3.0h,183,62%,✗,-123
金鹰大厦,常规期,24,2人×3.0h,183,62%,✗,-135
金鹰大厦,推广期,30,2人×3.0h,183,78%,✗,-108
金鹰大厦,常规期,30,2人×3.0h,183,78%,✗,-123
金鹰大厦,推广期,40,2人×3.5h,213,89%,✗,-113
金鹰大厦,常规期,40,2人×3.5h,213,89%,✗,-133
