点位,场景,当日单量,原配置,原日毛利,最优配置,最优日毛利,改善幅度
万科欧泊,推广期2.5元,46,3人×3.0h,-158.0,2人×4.0h,-48.0,110.0
万科欧泊,常规期2.0元,46,3人×3.0h,-181.0,2人×4.0h,-71.0,110.0
绿地星玥,推广期2.5元,151,5人×6.5h,-521.0,6人×4.0h,-266.0,255.0
绿地星玥,常规期2.0元,151,5人×6.5h,-596.0,6人×4.0h,-341.0,255.0
和业广场,推广期2.5元,36,2人×3.0h,-93.0,2人×3.0h,-93.0,0.0
和业广场,常规期2.0元,36,2人×3.0h,-111.0,2人×3.0h,-111.0,0.0
华林国际C馆,推广期2.5元,3,2人×3.0h,-176.0,2人×3.0h,-176.0,-0.0
华林国际C馆,常规期2.0元,3,2人×3.0h,-177.0,2人×3.0h,-177.0,0.0
万菱广场,推广期2.5元,41,2人×3.0h,-1.0,2人×3.5h,-31.0,-30.0
万菱广场,常规期2.0元,41,2人×3.0h,-21.0,2人×3.5h,-51.0,-30.0
金鹰大厦,推广期2.5元,20,2人×3.0h,-133.0,2人×3.0h,-133.0,0.0
金鹰大厦,常规期2.0元,20,2人×3.0h,-143.0,2人×3.0h,-143.0,0.0
