日均单量,配置,人数,人均,日补贴,月毛利,毛利率,补贴达标
20,3h×1人 + 2h×1人,2,10.0,0,-3090.0,-206.0%,✗
30,3h×1人 + 2h×1人,2,15.0,0,-2340.0,-104.0%,✗
40,3h×1人 + 2h×1人,2,20.0,80,810.0,15.0%,✓
50,3h×1人 + 2h×1人,2,25.0,80,1560.0,25.4%,✓
60,3h×1人 + 2h×2人,3,20.0,160,2910.0,31.3%,✓
70,3h×1人 + 2h×2人,3,23.3,160,3660.0,36.4%,✓
80,3h×1人 + 2h×3人,4,20.0,240,5010.0,38.0%,✓
90,3h×1人 + 2h×3人,4,22.5,240,5760.0,41.3%,✓
100,3h×1人 + 2h×4人,5,20.0,320,7110.0,41.6%,✓
120,3h×1人 + 2h×5人,6,20.0,400,9210.0,43.9%,✓
150,3h×1人 + 2h×6人,7,21.4,480,12060.0,47.0%,✓
180,3h×1人 + 2h×8人,9,20.0,640,15510.0,47.4%,✓
200,3h×1人 + 2h×9人,10,20.0,720,17610.0,48.1%,✓
250,3h×1人 + 2h×11人,12,20.8,880,22560.0,50.0%,✓
300,3h×1人 + 2h×14人,15,20.0,1120,28110.0,50.1%,✓
400,3h×1人 + 2h×19人,20,20.0,1520,38610.0,51.1%,✓
500,3h×1人 + 2h×24人,25,20.0,1920,49110.0,51.6%,✓
