阶段,人头补贴,基准单量,骑手费率,结算价,单量倍率,实际单量,配置,总人数,人均,月人力,月订单收入,月人头补贴,月总收入,月总成本,月毛利,毛利率,单均毛利,补贴达标
常规期(骑手付2元),有,40,¥2.0,¥2.5,25%,10,1锚+1峰×2.0h,2,5.0,4500.0,750.0,0,750.0,4600.0,-3850.0,-513.3%,-12.83,✗
常规期(骑手付2元),有,50,¥2.0,¥2.5,25%,12,1锚+1峰×2.0h,2,6.0,4500.0,900.0,0,900.0,4600.0,-3700.0,-411.1%,-10.28,✗
常规期(骑手付2元),有,60,¥2.0,¥2.5,25%,15,1锚+1峰×2.0h,2,7.5,4500.0,1125.0,0,1125.0,4600.0,-3475.0,-308.9%,-7.72,✗
常规期(骑手付2元),有,80,¥2.0,¥2.5,25%,20,1锚+1峰×2.0h,2,10.0,4500.0,1500.0,0,1500.0,4600.0,-3100.0,-206.7%,-5.17,✗
常规期(骑手付2元),有,100,¥2.0,¥2.5,25%,25,1锚+1峰×2.0h,2,12.5,4500.0,1875.0,0,1875.0,4600.0,-2725.0,-145.3%,-3.63,✗
常规期(骑手付2元),有,120,¥2.0,¥2.5,25%,30,1锚+1峰×2.0h,2,15.0,4500.0,2250.0,0,2250.0,4600.0,-2350.0,-104.4%,-2.61,✗
常规期(骑手付2元),有,150,¥2.0,¥2.5,25%,37,1锚+1峰×2.0h,2,18.5,4500.0,2775.0,0,2775.0,4600.0,-1825.0,-65.8%,-1.64,✗
常规期(骑手付2元),有,200,¥2.0,¥2.5,25%,50,1锚+1峰×3.0h,2,25.0,5400.0,3750.0,2400,6150.0,5500.0,650.0,+10.6%,0.43,✓
常规期(骑手付2元),有,250,¥2.0,¥2.5,25%,62,1锚+2峰×2.5h,3,20.7,7200.0,4650.0,4800,9450.0,7300.0,2150.0,+22.8%,1.16,✓
常规期(骑手付2元),有,300,¥2.0,¥2.5,25%,75,1锚+2峰×3.0h,3,25.0,8100.0,5625.0,4800,10425.0,8200.0,2225.0,+21.3%,0.99,✓
常规期(骑手付2元),有,400,¥2.0,¥2.5,25%,100,1锚+4峰×2.0h,5,20.0,9900.0,7500.0,9600,17100.0,10000.0,7100.0,+41.5%,2.37,✓
常规期(骑手付2元),有,500,¥2.0,¥2.5,25%,125,1锚+5峰×2.5h,6,20.8,13950.0,9375.0,12000,21375.0,14050.0,7325.0,+34.3%,1.95,✓
